state|date|summary|link_text|link|||
Michigan|1/29/2026|The Macomb County clerk claimed to have identified 15 possible noncitizens on the county's voter list, three of whom have allegedly voted. However, the Michigan bureau of elections reviewed these allegations and found that at least three of these 15 individuals were US citizens and another four individuals were previously already from the voter list.|"claimed to have identified||reviewed these allegations"|"https://www.votebeat.org/michigan/2026/01/16/noncitizens-registered-vote-anthony-forlini-macomb-county/||https://www.michigan.gov/sos/resources/news/2026/01/29/secretary-benson-macomb-county-clerks-reckless-accusations-put-eligible-michigan-voters-at-risk"|||
Minnesota|7/14/2024|A review of every prosecution related to noncitizen registration and voting in Minnesota since 2015 identified three convictions.|"review of every prosecution||identified three convictions"|"https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4839678||https://www.startribune.com/why-noncitizen-voting-is-not-an-issue-in-minnesota/600380720"|||
Minnesota|8/1/2025|A noncitizen was charged with allegedly registering to vote and voting in a February 2025 local election. Investigators found the noncitizen had self-reported their citizenship status on the application. |was charged with |https://krocnews.com/non-citizen-vote-chatfield/|||
Minnesota|4/14/2026|An individual was charged with illegally voting as a noncitizen in the 2024 general election after registering to vote in 2023. |charged with illegally voting|https://www.fox9.com/news/noncitizen-registered-vote-cast-ballot-minnesotas-2024-election-charges?taid=69de99454cd2160001d633ce&utm_campaign=trueanthem&utm_medium=trueanthem&utm_source=twitter|||
Missouri|6/11/2025|The secretary of state announced that Jackson County officials removed a noncitizen who allegedly voted in the 2024 general election from their voter list. It is unclear if criminal charges were filed. |"announced that||allegedly voted"|"https://www.sos.mo.gov/default.aspx?PageId=10537||https://www.kshb.com/news/local-news/jackson-county-election-officials-remove-illegal-voter-who-allegedly-voted-in-november-2024-election"|||
Montana|2/7/2022|The Phillips County attorney's office charged two noncitizens with allegedly registering to vote and voting in an October 2021 municipal elections. The county clerk and recorder's office cancelled these registrations in January 2022.|charged two noncitizens|https://montanafreepress.org/2022/02/07/election-crimes-alleged-in-phillips-county/ |||
Montana|9/28/2022|Update to the 2/7/2022 entry: Two noncitizens charged in February 2022 with allegedly registering to vote failed to appear in court. The case was vacated and referred to federal immigration officials. |failed to appear in court|https://dailymontanan.com/briefs/phillips-county-voter-fraud-case-vacated-being-referred-to-ice/|||
Montana|1/12/2026|The secretary of state's office identified 23 possible noncitizens on the state's voter list through the SAVE database. Several of these individuals had allegedly voted in multiple elections. |identified 23 possible noncitizens|https://sosmt.gov/secretary-christi-jacobsen-first-check-with-verification-tool-flags-multiple-voter-records-as-potential-non-citizens/|||
Nevada|4/19/2017|The secretary of state's office identified over 100 noncitizens who had provided evidence of noncitizenship to the department of motor vehicles and completed a voter registration application. Of these individuals, 21 have allegedly voted. |identified over 100 noncitizens|https://www.nvsos.gov/sos/Home/Components/News/News/2229/309?backlist=%2fsos.|||
Nevada|4/21/2021|The secretary of state received an elections integrity violation report alleging noncitizen voting in 2020. The secretary's office then conducted a review of all records of individuals who presented an immigration document when obtaining a driver's license. However, the office ultimately determined that generalized information from the DMV could not serve as a basis for an investigation as many voters were likely naturalized at the time of, or after their interaction with the DMV.|alleging noncitizen voting|https://www.nvsos.gov/sos/home/showpublisheddocument?id=9428|||
Nevada|9/12/2024|The Trump campaign and state and national Republicans filed a lawsuit claiming thousands of noncitizens are registered to vote and have voted in Nevada. The data for these claims come from a previous lawsuit, which was dismissed. |filed a lawsuit|https://www.8newsnow.com/investigators/trump-republicans-claim-noncitizens-are-voting-in-nevada-though-many-appear-to-be-naturalized/|||
Nevada|2/20/2026|The U.S. Federal Bureau of Investigation closed an investigation into voter fraud in Nevada in 2020. An FBI review of the state's voter list revealed fewer than 40 potential instances of noncitizen voting. |closed an investigation|https://www.washingtonpost.com/politics/2026/02/20/trump-voting-fraud-justice-department/|||
New Hampshire|7/22/2025|The New Hampshire justice department charged a noncitizen with three felonies for allegedly voting in three different elections in 2023 and 2024. The individual allegedly registered to vote by signing an affidavit attesting they were a US citizen.|"charged a noncitizen||allegedly voting||allegedly registered"|"https://www.doj.nh.gov/news-and-media/non-us-citizen-arrested-wrongful-voting-new-hampshire||https://www.nhpr.org/nh-news/2025-07-22/manchester-green-card-holder-arrested-for-voting-illegally||https://nhjournal.com/lax-nh-voter-law-allowed-non-citizen-to-vote-three-times-records-show/"|||
New Jersey|9/11/2017|"The Public Interest Legal Foundation reportedly identified 616 noncitizens who were ""engaged on some level"" with New Jersey's voter registration system, 76% of whom had self-reported their citizenship status. The review was based on data disclosed by several counties. "|reportedly identified|https://publicinterestlegal.org/press/report-noncitizens-discovered-new-jersey-voter-registration-system/|||
New Jersey|1/8/2026|The U.S. Department of Justice charged two individuals with registering to vote and voting in the 2020 general election. The individuals allegedly falsely certified and attested to being US citizens on their registration forms.|charged two individuals|https://www.justice.gov/usao-nj/pr/aliens-charged-illegally-voting-federal-election-and-making-false-statements-while|||
New York|4/28/2025|The U.S. Department of Justice charged an individual with illegally voting as a noncitizen in the 2020 election. |charged an individual|https://www.justice.gov/usao-ndny/pr/iraqi-man-charged-illegal-voting-alien|||
North Carolina|4/21/2017|The North Carolina state board of elections' 2016 post-election audit identified 41 noncitizens who had voted. The audit also identified an additional 34 voters who later provided documentary proof of citizenship and were confirmed to be US citizens.|post-election audit identified|https://dl.ncsbe.gov/sboe/Post-Election%20Audit%20Report_2016%20General%20Election/Post-Election_Audit_Report.pdf|||
North Carolina|9/26/2024|The North Carolina state board of elections identified nine registered voters as possible noncitizens and is investigating their citizenship status. These individuals were identified due to a new law requiring state election officials to work with court officials to identify voters who request to be excused from jury duty based on citizenship. |"identified nine registered voters||due to a new law"|"https://www.ncsbe.gov/news/press-releases/2024/09/26/nc-election-officials-removed-nearly-750000-ineligible-registrants-start-2023||https://www.wral.com/story/9-potential-non-citizens-identified-as-registered-voters-in-nc-state-elections-officials-say/21644188/"|||
North Carolina|8/28/2025|A federal grand jury indicted an individual for allegedly registering to vote and voting in the 2022 and 2024 general elections as a noncitizen.|indicted an individual|https://www.justice.gov/usao-ednc/pr/alien-charged-illegal-voting-federal-elections|||
North Carolina|11/10/2025|The US attorney for the western district of North Carolina claimed the state's division of motor vehicles allegedly illegally registered six noncitizens to vote, seemingly without their knowledge. |claimed the state's division of motor vehicles|https://www.wistv.com/2025/11/10/north-carolina-dmv-incorrectly-registered-noncitizens-vote-federal-prosecutor-says/|||
Ohio|8/10/2022|The secretary of state referred 11 individuals who provided documentation of noncitizenship for further investigation of potential election crimes. Of these 11 individuals, 10 had registration records and one may have voted illegally. |referred 11 individuals|https://www.ohiosos.gov/office/media-center/categories/press-releases/2022-08-10|||
Ohio|9/27/2023|A review of allegations of noncitizen voting identified one individual charged with voter fraud out of 521 cases. |one individual |https://ohiocapitaljournal.com/2023/09/27/ohio-sec-of-state-larose-flagged-more-than-520-cases-of-noncitizen-voter-fraud-only-one-was-legit/|||
Ohio|8/21/2024|The secretary of state referred evidence of 597 possible noncitizen registration records to the state attorney general, including 138 individuals who appear to have voted in an election. |"referred evidence of||including 138 individuals"|"https://www.ohiosos.gov/office/media-center/categories/press-releases/2024-08-21||https://apnews.com/article/ohio-voters-citizenship-referrals-42799a379bdda8bca7201d6c42f99c65"|||
Ohio|12/15/2024|Of the 621 criminal referrals of voter fraud sent to the state attorney general, prosecutors indicted nine individuals for voting as noncitizens over the span of 10 years. |indicted nine individuals|https://apnews.com/article/noncitizen-voting-republicans-prosecutions-2024-election-ohio-ae9dafeeb47ea8941bf82f5988b269ef|||
Ohio|3/17/2025|The secretary of state's public integrity division and office of data analytics and archives identified 62 registration records belonging to possible noncitizens.|identified 62 registration records|https://www.ohiosos.gov/office/media-center/categories/press-releases/2025-03-17|||
Ohio|6/3/2025|The secretary of state announced that the office's election integrity unit identified 78 possible noncitizens on Ohio's voter list. Of these, nine had allegedly voted in an election. The secretary is referring these cases for potential prosecution.|"election integrity unit identified||referring these cases"|"https://www.ohiosos.gov/office/media-center/categories/press-releases/2025-06-03||https://www.foxnews.com/politics/election-investigation-uncovers-alleged-illegal-voting-noncitizens-double-voters-multiple-states"|||
Ohio|9/16/2025|The secretary of state announced that the office's election integrity unit identified 30 possible noncitizens on Ohio's voter list. The review also identified 11 possible noncitizens from other states who appear to have voted in multiple jurisdictions. The secretary is referring these cases for potential prosecution.|election integrity unit identified|https://www.ohiosos.gov/office/media-center/categories/press-releases/2025-09-16b|||
